name,pct_change,total_mv,up_num,down_num
网络游戏,3.47,95804816.0,66.0,6.0
创投,2.21,448869862.4,259.0,28.0
中字头,1.47,1602354944.0,94.0,10.0
次新股,3.63,83671848.0,88.0,4.0
HS300_,1.36,5578769459.2,222.0,70.0
AH股,1.18,3258484147.2,114.0,30.0
AB股,1.41,133084180.8,63.0,10.0
节能环保,1.73,354316830.4,367.0,37.0
新能源,1.95,564888704.0,190.0,14.0
煤化工,0.82,235827772.8,55.0,14.0
军工,2.98,584351974.4,474.0,23.0
DeepSeek概念,4.92,140804937.6,40.0,14.0
小红书概念,1.07,46900406.4,39.0,20.0
首发经济,1.17,29724665.6,28.0,10.0
冰雪经济,0.52,22090059.7,22.0,12.0
人形机器人,0.9,122023374.4,38.0,36.0
谷子经济,0.78,48899033.6,41.0,18.0
智谱AI,4.04,40566374.4,25.0,8.0
并购重组概念,1.57,139209849.6,63.0,14.0
华为海思,1.79,74887990.4,31.0,6.0
房屋检测,1.89,21400432.2,32.0,4.0
AI眼镜,1.88,125896704.0,55.0,20.0
荣耀概念,1.43,104270947.2,36.0,13.0
财税数字化,2.26,52474702.4,31.0,9.0
玻璃基板,1.8,52967502.4,28.0,5.0
合成生物,2.23,116615312.0,97.0,11.0
锂矿概念,1.75,242139452.8,31.0,5.0
AI语料,0.35,35676163.2,13.0,12.0
碳纤维,1.19,33570532.8,25.0,7.0
AI制药,6.61,14508249.0,16.0,0.0
Kimi概念,0.57,54796976.0,14.0,11.0
铜缆高速连接,2.28,62388392.0,30.0,5.0
低空经济,1.75,331168616.0,189.0,47.0
娃哈哈概念,1.06,9532301.3,13.0,7.0
AIPC,1.77,96873704.0,30.0,11.0
可控核聚变,2.11,39103756.8,20.0,2.0
AI手机,1.84,88216217.6,22.0,12.0
英伟达概念,2.51,133891211.2,38.0,10.0
柔性屏(折叠屏),1.87,99773552.0,58.0,12.0
Sora概念,0.5,38337171.2,22.0,16.0
微盘股,1.04,69974494.4,286.0,99.0
飞行汽车(eVTOL),1.45,78063307.2,52.0,16.0
PEEK材料概念,0.71,25680403.6,11.0,13.0
小米汽车,2.11,342566904.0,50.0,19.0
东盟自贸区概念,1.26,17565896.9,12.0,2.0
多模态AI,1.71,89073468.8,36.0,13.0
高带宽内存,1.19,14336863.9,9.0,4.0
